Pay vs Performance Disclosure - USD ($) $ in Millions,3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Pay vs Performance Disclosure, , 
Net Income (Loss),24667,22291
