Supplemental Cash Flow Information Related to Leases (Detail) - USD ($) $ in Millions,3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Cash paid for amounts included in the measurement of lease liabilities:, , 
Operating cash flows from operating leases,1207,795
Operating cash flows from finance leases,275,149
Financing cash flows from finance leases,802,285
Right-of-use assets obtained in exchange for lease obligations:, , 
Operating leases,1892,1804
Finance leases,4332,1704
