Supplemental Cash Flow Information Related to Leases (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Cash paid for amounts included in the measurement of lease liabilities:, , , 
Operating cash flows from operating leases,3550,2706,2368
Operating cash flows from finance leases,734,501,429
Financing cash flows from finance leases,1286,1056,896
Right-of-use assets obtained in exchange for lease obligations:, , , 
Operating leases,6703,3514,5268
Finance leases,11633,3128,4234
