MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
SEGMENT REVENUE AND OPERATING INCOME,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2019,,2018.0,,2019,,2018.0,,
Revenue,,,,,,,,,
Productivity and Business Processes,11826,,10100.0,,22903,,19871.0,,
Intelligent Cloud,11869,,9378.0,,22714,,17945.0,,
More Personal Computing,13211,,12993.0,,24344,,23739.0,,
  Total,36906,,32471.0,,69961,,61555.0,,
Operating Income,,,,,,,,,
Productivity and Business Processes,5182,,4015.0,,9964,,7896.0,,
Intelligent Cloud,4531,,3279.0,,8420,,6210.0,,
More Personal Computing,4178,,2964.0,,8193,,6107.0,,
  Total,13891,,10258.0,,26577,,20213.0,,
