Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-19,Q2-19,Q3-19,Q4-19,Fiscal Year 2019,,Q1-20,Q2-20,Q3-20,Q4-20,Fiscal Year 2020
Productivity and Business Processes,9771,10100,10242,11047,41160,,11077,11826,11743,,34646
Intelligent Cloud,8567,9378,9649,11391,38985,,10845,11869,12281,,34995
More Personal Computing,10746,12993,10680,11279,45698,,11133,13211,10997,,35341
  Total,29084,32471,30571,33717,125843,,33055,36906,35021,,104982
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-19,Q2-19,Q3-19,Q4-19,Fiscal Year 2019,,Q1-20,Q2-20,Q3-20,Q4-20,Fiscal Year 2020
Productivity and Business Processes,3881,4015,3979,4344,16219,,4782,5182,4788,,14752
Intelligent Cloud,2931,3279,3208,4502,13920,,3889,4531,4560,,12980
More Personal Computing,3143,2964,3154,3559,12820,,4015,4178,3627,,11820
  Total,9955,10258,10341,12405,42959,,12686,13891,12975,,39552
