Segment Revenue (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Segment Reporting Information [Line Items], , , 
Revenue,245122,211915,198270
Productivity and Business Processes, , , 
Segment Reporting Information [Line Items], , , 
Revenue,77728,69274,63364
Intelligent Cloud, , , 
Segment Reporting Information [Line Items], , , 
Revenue,105362,87907,74965
More Personal Computing, , , 
Segment Reporting Information [Line Items], , , 
Revenue,62032,54734,59941
