Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income (Loss),,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-17,Q2-17,Q3-17,Q4-17,Fiscal Year 2017,,Q1-18,Q2-18,Q3-18,Q4-18,Fiscal Year 2018
Productivity and Business Processes,6436,7179,7707,8548,29870,,8238,8953,,,17191
Intelligent Cloud,6097,6758,6730,7822,27407,,6922,7795,,,14717
More Personal Computing,9395,11889,8775,9235,39294,,9378,12170,,,21548
Corporate and Other,0,0,0,0,0,,0,0,,,0
  Total,21928,25826,23212,25605,96571,,24538,28918,,,53456
,,,,,,,,,,,
,,,,,,,,,,,
Operating income (loss),Q1-17,Q2-17,Q3-17,Q4-17,Fiscal Year 2017,,Q1-18,Q2-18,Q3-18,Q4-18,Fiscal Year 2018
Productivity and Business Processes,2905,3053,2540,2891,11389,,3006,3337,,,6343
Intelligent Cloud,1777,2291,2148,2911,9127,,2137,2832,,,4969
More Personal Computing,2033,2561,2035,2186,8815,,2565,2510,,,5075
Corporate and Other,0,0,0,-306,-306,,0,0,,,0
  Total,6715,7905,6723,7682,29025,,7708,8679,,,16387
