Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income (Loss),,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-16,Q2-16,Q3-16,Q4-16,Fiscal Year 2016,,Q1-17,Q2-17,Q3-17,Q4-17,Fiscal Year 2017
Productivity and Business Processes,6306,6690,6521,6970,26487,,6658,7382,,,14040
Intelligent Cloud,5892,6343,6096,6711,25042,,6382,6861,,,13243
More Personal Computing,9462,12473,9539,8960,40434,,9294,11823,,,21117
Corporate and Other,-1281,-1710,-1625,-2027,-6643,,-1881,-1976,,,-3857
  Total revenue,20379,23796,20531,20614,85320,,20453,24090,,,44543
,,,,,,,,,,,
,,,,,,,,,,,
Operating income (loss),Q1-16,Q2-16,Q3-16,Q4-16,Fiscal Year 2016,,Q1-17,Q2-17,Q3-17,Q4-17,Fiscal Year 2017
Productivity and Business Processes,3156,3292,2981,2989,12418,,3120,3256,,,6376
Intelligent Cloud,2391,2568,2176,2180,9315,,2058,2398,,,4456
More Personal Computing,1527,1876,1751,1048,6202,,1928,2499,,,4427
Corporate and Other,-1281,-1710,-1625,-3137,-7753,,-1881,-1976,,,-3857
  Total operating income,5793,6026,5283,3080,20182,,5225,6177,,,11402
