Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-20,Q2-20,Q3-20,Q4-20,Fiscal Year 2020,,Q1-21,Q2-21,Q3-21,Q4-21,Fiscal Year 2021
Productivity and Business Processes,11077,11826,11743,11752,46398,,12319,13353,13552,,39224
Intelligent Cloud,10845,11869,12281,13371,48366,,12986,14601,15118,,42705
More Personal Computing,11133,13211,10997,12910,48251,,11849,15122,13036,,40007
  Total,33055,36906,35021,38033,143015,,37154,43076,41706,,121936
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-20,Q2-20,Q3-20,Q4-20,Fiscal Year 2020,,Q1-21,Q2-21,Q3-21,Q4-21,Fiscal Year 2021
Productivity and Business Processes,4782,5182,4788,3972,18724,,5706,6181,6029,,17916
Intelligent Cloud,3889,4531,4560,5344,18324,,5422,6492,6425,,18339
More Personal Computing,4015,4178,3627,4091,15911,,4748,5224,4594,,14566
  Total,12686,13891,12975,13407,52959,,15876,17897,17048,,50821
