Revenue Classified by Significant Product and Service Offerings (Parenthetical) (Detail) - USD ($) $ in Millions,3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Revenue from External Customer [Line Items], , 
Revenue,65585,56517
Microsoft Cloud, , 
Revenue from External Customer [Line Items], , 
Revenue,38900,31900
