MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
SEGMENT REVENUE AND OPERATING INCOME,,,,,,,,,
(In millions)(Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2017,,2016.0,,2017,,2016.0,,
Revenue,,,,,,,,,
Productivity and Business Processes,8953,,7179.0,,17191,,13615.0,,
Intelligent Cloud,7795,,6758.0,,14717,,12855.0,,
More Personal Computing,12170,,11889.0,,21548,,21284.0,,
  Total,28918,,25826.0,,53456,,47754.0,,
Operating Income,,,,,,,,,
Productivity and Business Processes,3337,,3053.0,,6343,,5958.0,,
Intelligent Cloud,2832,,2291.0,,4969,,4068.0,,
More Personal Computing,2510,,2561.0,,5075,,4594.0,,
  Total,8679,,7905.0,,16387,,14620.0,,
