Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-18,Q2-18,Q3-18,Q4-18,Fiscal Year 2018,,Q1-19,Q2-19,Q3-19,Q4-19,Fiscal Year 2019
Productivity and Business Processes,8238,8953,9006,9668,35865,,9771,10100,,,19871
Intelligent Cloud,6922,7795,7896,9606,32219,,8567,9378,,,17945
More Personal Computing,9378,12170,9917,10811,42276,,10746,12993,,,23739
  Total,24538,28918,26819,30085,110360,,29084,32471,,,61555
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-18,Q2-18,Q3-18,Q4-18,Fiscal Year 2018,,Q1-19,Q2-19,Q3-19,Q4-19,Fiscal Year 2019
Productivity and Business Processes,3006,3337,3115,3466,12924,,3881,4015,,,7896
Intelligent Cloud,2137,2832,2654,3901,11524,,2931,3279,,,6210
More Personal Computing,2565,2510,2523,3012,10610,,3143,2964,,,6107
  Total,7708,8679,8292,10379,35058,,9955,10258,,,20213
