Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-23,Q2-23,Q3-23,Q4-23,Fiscal Year 2023,,Q1-24,Q2-24,Q3-24,Q4-24,Fiscal Year 2024
Productivity and Business Processes,16465,17002,17516,18291,69274,,18592,19249,,,37841
Intelligent Cloud,20325,21508,22081,23993,87907,,24259,25880,,,50139
More Personal Computing,13332,14237,13260,13905,54734,,13666,16891,,,30557
  Total,50122,52747,52857,56189,211915,,56517,62020,,,118537
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-23,Q2-23,Q3-23,Q4-23,Fiscal Year 2023,,Q1-24,Q2-24,Q3-24,Q4-24,Fiscal Year 2024
Productivity and Business Processes,8323,8175,8639,9052,34189,,9970,10284,,,20254
Intelligent Cloud,8978,8904,9476,10526,37884,,11751,12461,,,24212
More Personal Computing,4217,3320,4237,4676,16450,,5174,4287,,,9461
  Total,21518,20399,22352,24254,88523,,26895,27032,,,53927
