GOODWILL (Tables),3 Months Ended
,"Sep. 30, 2024"
Goodwill and Intangible Assets Disclosure [Abstract], 
Carrying Amount of Goodwill,"Changes in the carrying amount of goodwill were as follows:
(In millions) June 30, 2024 Acquisitions Other September 30, 2024
Productivity and Business Processes $ 31,361 $ 0 $ 44 $ 31,405
Intelligent Cloud 25,648 0 22 25,670
More Personal Computing 62,211 0 88 62,299
Total $ 119,220 $ 0 $ 154 $ 119,374"
