Stock-Based Compensation Expense and Related Income Tax Benefits (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Share-Based Payment Arrangement [Abstract], , , 
Stock-based compensation expense,10734,9611,7502
Income tax benefits related to stock-based compensation,1826,1651,1293
