Stock Plan Activity (Parenthetical) (Detail) - shares shares in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Performance Stock Units, , , 
Share based Compensation Arrangement by Share based Payment Award [Line Items], , , 
Nonvested stock awards granted,1,1,1
