Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in billions, except for percentages and where otherwise noted)",,Q3'15,Q4'15,FY15,Q1'16,Q2'16,Q3'16
,,,,,,,,
,Commercial,,,,,,,
,,Commercial bookings growth (y/y)*,-1% / 10%,-6% / 0%,-0.05,2% / 10%,12% / 19%,7% / 9%
,,Commercial unearned revenue (in millions),18223,23313,23313,20999,19557,18756
,,Contracted not billed,>$23.0,>$24.5,>$24.5,>$23.5,>$25.5,>$25.0
,,Commercial revenue mix,,,,,,
,,    Annuity,0.82,0.82,0.81,0.86,0.83,0.86
,,    Non-Annuity,0.18,0.18,0.19,0.14,0.17,0.14
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,-2% / 1%,-4% / 1%,-0.01,-2% / 5%,-1% / 5%,0% / 7%
,,Office Consumer products and cloud services revenue growth (y/y)*,-29% / -24%,-30% / -23%,-0.17,-13% / -4%,-14% / -8%,3% / 6%
,,Office 365 Commercial seat growth (y/y),0.84,0.74,0.74,0.66,0.59,0.57
,,Office 365 Consumer subscribers (in millions),12.4,15.2,15.2,18.2,20.6,22.2
,,Dynamics products and cloud services revenue growth (y/y)*,13% / 20%,6% / 15%,0.12,3% / 12%,3% / 11%,4% / 9%
,,Server products and cloud services revenue growth (y/y)*,12% / 16%,4% / 9%,0.09,6% / 13%,3% / 10%,0% / 5%
,,Enterprise services revenue growth (y/y)*,7% / 13%,-1% / 5%,0.07,9% / 16%,10% / 16%,11% / 15%
,,Commercial cloud annualized revenue run rate,6.3,>$8.0,>$8.0,>$8.2,>$9.4,>$10.0
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM Pro revenue growth (y/y),-0.19,-0.21,-0.15,-0.07,-0.06,-0.11
,,Windows OEM non-Pro revenue growth (y/y),-0.26,-0.27,-0.16,-0.04,-0.03,0.15
,,Windows volume licensing revenue growth (y/y)*,-2% / 1%,-8% / -4%,0,-3% / 4%,-4% / 3%,-2% / 6%
,,Surface revenue (in millions),713,888,3613,672,1352,1111
,,Xbox Live monthly active users (in millions),37,37,37,39,48,46
,,Search advertising revenue (ex TAC) growth (y/y)*,29% / 34%,30% / 28%,0.29,23% / 29%,17% / 21%,14% /18%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
