Income Taxes - Additional Information (Detail) - USD ($) $ in Millions,3 Months Ended,Unnamed: 2,Unnamed: 3
,"Sep. 30, 2024","Sep. 30, 2023","Jun. 30, 2024"
Income Taxes [Line Items], , , 
Effective tax rate,0.19,0.18, 
Long-term income taxes,24452, ,27931
Unrecognized Tax Benefits and Other Income Tax Liabilities, , , 
Income Taxes [Line Items], , , 
Long-term income taxes,25900, ,24900
